region,parameter,s,z,var_s,p,sslp,trend
VI,TOC_mg-C/l,565.0,6.155332394411776,8395.666666666666,7.492018117005728e-10,0.020875,increasing
IX,ESO4_uekv/l,-34.0,-0.9964984287699772,1096.6666666666667,0.3190080301151297,-0.0524026362179487,no trend
IX,ECa-Mg_uekv/l,90.0,2.6875260654705446,1096.6666666666667,0.007198348391553422,0.43646352083333295,increasing
IX,ANC_uekv/l,90.0,2.6875260654705446,1096.6666666666667,0.007198348391553422,0.4849736499999999,increasing
IX,pH,66.0,1.964592174394741,1094.6666666666667,0.049461458439756134,0.005634920634920839,increasing
IX,LAL_ug/l,87.0,2.6092572470734536,1086.3333333333333,0.009073900073062857,0.18181818181818182,increasing
IX,TOC_mg-C/l,41.0,1.2084279640112776,1095.6666666666667,0.22688268885268403,0.0032539682539682365,no trend
VIII,ESO4_uekv/l,-469.0,-5.204392390329606,8086.333333333334,1.9463236622385693e-07,-0.20392529411764707,decreasing
VIII,ECa-Mg_uekv/l,265.0,2.9346016451584553,8093.0,0.003339761465631419,0.20926399999999973,increasing
VIII,ANC_uekv/l,613.0,6.802940177412783,8093.0,1.0250467141759145e-11,0.7292633333333335,increasing
VIII,pH,397.0,4.403716637971206,8086.333333333333,1.0641191712457143e-05,0.009230769230769239,increasing
VIII,LAL_ug/l,289.0,3.273502341364007,7740.333333333334,0.001062235106070064,0.03333333333333333,increasing
VIII,TOC_mg-C/l,196.0,2.170421259572428,8072.0,0.029974947708887534,0.004700000000000002,increasing
